ders,ogrenci_no,vize1,vize2,vize3,final
biyoloji,45,90,8,98,69
biyoloji,21,20,21,15,98
fizik,43,24,83,34,77
matematik,29,24,13,19,49
fizik,41,83,39,85,91
biyoloji,10,54,22,2,61
biyoloji,47,83,63,73,21
matematik,24,26,17,34,41
fizik,19,1,16,82,55
biyoloji,16,25,69,21,15
biyoloji,31,39,72,79,60
biyoloji,17,7,80,99,63
fizik,8,80,55,79,21
fizik,9,30,22,42,23
biyoloji,8,82,53,30,55
matematik,48,63,8,58,72
biyoloji,50,0,25,86,5
biyoloji,22,78,12,29,33
matematik,37,48,22,60,55
biyoloji,3,37,27,30,76
matematik,48,15,0,65,52
fizik,46,53,21,76,62
matematik,32,6,72,17,40
matematik,26,43,10,95,59
fizik,38,25,15,81,7
biyoloji,6,42,73,67,18
fizik,46,58,67,97,19
biyoloji,5,17,35,62,27
matematik,33,63,78,96,15
fizik,44,44,82,93,7
biyoloji,42,19,23,49,43
matematik,45,87,82,20,47
fizik,11,22,2,38,55
fizik,12,10,53,91,66
matematik,16,52,91,85,66
matematik,29,7,78,37,70
fizik,22,85,96,83,85
fizik,13,60,67,0,23
biyoloji,48,42,55,22,83
biyoloji,47,48,6,26,58
matematik,14,75,55,30,20
matematik,36,98,80,46,52
fizik,45,69,82,79,44
fizik,26,88,57,93,72
fizik,37,37,34,50,52
matematik,35,16,93,10,16
biyoloji,19,42,50,0,35
fizik,44,95,97,56,6
matematik,44,66,22,9,32
fizik,5,67,38,70,63
fizik,49,50,41,14,70
fizik,45,18,77,2,45
fizik,6,94,13,77,16
fizik,15,34,96,66,67
fizik,4,89,99,52,43
matematik,18,41,51,88,22
biyoloji,30,5,85,24,23
biyoloji,36,32,75,13,17
matematik,41,48,53,68,46
biyoloji,15,24,57,49,82
biyoloji,31,84,51,31,91
biyoloji,43,2,71,54,92
fizik,43,37,67,51,30
biyoloji,24,77,66,31,20
biyoloji,32,88,95,54,6
biyoloji,25,74,43,40,84
fizik,24,7,60,64,15
fizik,21,41,10,20,25
matematik,16,72,37,96,40
matematik,12,27,57,33,6
matematik,12,64,56,11,96
matematik,23,24,63,12,41
biyoloji,34,6,55,22,81
matematik,16,38,90,19,50
matematik,37,74,32,74,98
matematik,46,32,87,62,9
biyoloji,28,48,30,27,100
matematik,30,57,54,26,99
matematik,50,89,99,16,84
fizik,0,1,63,2,21
fizik,27,76,51,38,34
fizik,38,13,5,96,63
matematik,49,58,99,90,44
biyoloji,27,33,43,98,88
fizik,39,11,89,50,100
matematik,2,13,56,20,25
fizik,2,49,94,96,66
fizik,18,24,1,20,24
matematik,34,60,45,98,30
matematik,34,60,59,54,35
matematik,10,69,35,49,72
biyoloji,44,54,60,65,28
matematik,10,100,9,37,51
fizik,28,70,80,0,94
biyoloji,32,23,19,15,27
biyoloji,31,35,28,3,81
fizik,19,97,39,81,86
fizik,13,79,10,77,6
fizik,47,87,19,96,27
fizik,11,61,98,94,88
fizik,48,60,59,93,96
matematik,14,10,43,39,7
biyoloji,39,52,29,32,59
matematik,9,19,81,6,46
fizik,37,36,96,35,89
matematik,34,68,92,11,95
matematik,32,16,8,60,73
fizik,6,95,74,57,20
biyoloji,28,34,66,75,71
matematik,25,47,46,46,34
matematik,4,32,69,56,7
fizik,24,30,35,90,20
biyoloji,1,21,22,89,85
matematik,9,8,3,37,53
fizik,6,36,39,43,70
matematik,3,5,88,60,38
fizik,43,71,25,23,22
fizik,45,38,15,17,27
biyoloji,21,59,9,93,44
biyoloji,37,7,11,95,95
fizik,14,68,49,80,77
matematik,41,25,66,43,92
biyoloji,21,48,70,86,66
matematik,29,39,59,51,7
fizik,34,27,97,42,10
biyoloji,15,78,44,12,59
biyoloji,34,17,71,10,36
matematik,42,3,59,23,49
fizik,34,1,73,91,40
matematik,27,70,34,12,86
biyoloji,8,9,100,70,56
matematik,23,46,31,43,95
biyoloji,41,32,22,26,13
fizik,36,80,83,79,6
biyoloji,34,20,49,51,54
fizik,38,4,19,95,9
fizik,32,30,99,3,86
matematik,29,100,62,40,36
matematik,8,4,69,6,90
matematik,10,39,47,64,54
matematik,10,97,26,55,15
fizik,20,15,25,75,15
fizik,16,81,10,88,1
biyoloji,5,26,46,89,95
biyoloji,33,14,65,68,7
biyoloji,41,81,29,42,63
matematik,17,92,71,52,24
fizik,7,97,49,43,64
biyoloji,23,39,49,85,91
matematik,10,37,41,29,43
fizik,17,85,15,42,40
biyoloji,29,50,52,55,74
matematik,49,57,81,33,55
biyoloji,18,71,20,42,90
matematik,28,25,92,84,53
matematik,43,8,40,13,89
fizik,6,72,45,55,60
matematik,39,73,28,74,9
fizik,41,64,43,59,55
biyoloji,37,4,8,88,90
biyoloji,21,60,37,39,39
biyoloji,38,48,9,56,4
fizik,15,63,90,49,10
matematik,2,94,38,70,40
fizik,3,10,77,74,23
biyoloji,18,71,3,61,77
matematik,49,28,82,80,35
fizik,11,24,80,100,91
fizik,50,52,96,12,40
biyoloji,37,36,58,14,38
fizik,10,78,27,40,67
matematik,16,15,14,25,10
biyoloji,24,63,75,1,63
biyoloji,46,5,99,35,67
fizik,25,51,92,83,46
matematik,44,78,85,41,16
fizik,32,60,41,47,70
matematik,19,14,18,91,54
matematik,49,92,9,69,44
matematik,41,15,56,25,36
fizik,17,69,15,63,87
fizik,6,9,67,25,100
biyoloji,35,74,75,68,67
biyoloji,40,40,10,49,16
matematik,20,28,50,65,15
fizik,38,39,80,1,99
fizik,25,39,8,51,63
biyoloji,14,99,90,85,9
matematik,27,78,28,79,17
biyoloji,30,96,59,23,27
fizik,25,70,66,9,29
matematik,19,26,2,69,81
fizik,39,83,42,88,99
matematik,47,25,10,69,28
biyoloji,48,59,77,79,93
matematik,6,56,27,27,57
matematik,21,62,2,84,53
biyoloji,43,1,91,82,40
biyoloji,20,10,5,24,69
fizik,9,31,17,87,13
fizik,1,97,97,31,70
fizik,33,61,12,40,13
fizik,14,1,63,93,25
biyoloji,35,12,94,28,78
biyoloji,12,59,55,28,5
biyoloji,26,33,100,40,21
biyoloji,46,30,85,91,69
matematik,15,63,30,10,52
biyoloji,45,19,13,54,50
matematik,35,53,19,48,37
matematik,21,81,46,52,60
fizik,34,66,50,9,67
fizik,47,35,67,52,59
fizik,18,12,91,59,78
fizik,25,0,85,10,0
biyoloji,43,49,44,1,56
biyoloji,4,82,83,79,80
fizik,27,4,6,7,4
biyoloji,43,91,41,35,68
biyoloji,36,43,82,100,99
fizik,15,92,23,78,3
fizik,22,7,81,70,12
biyoloji,26,67,59,90,66
fizik,4,41,58,27,29
matematik,0,93,97,82,58
biyoloji,43,12,98,2,91
matematik,34,89,66,80,31
matematik,12,5,80,79,65
fizik,1,82,62,20,100
biyoloji,30,24,76,55,63
biyoloji,50,4,56,30,18
fizik,8,61,36,46,8
fizik,48,86,36,38,49
biyoloji,42,40,21,27,47
fizik,13,0,90,29,58
fizik,39,85,53,85,48
fizik,29,80,50,20,63
biyoloji,50,37,76,44,8
biyoloji,8,40,27,29,31
biyoloji,44,66,91,62,44
matematik,30,19,28,79,65
matematik,48,66,41,85,38
fizik,47,20,77,89,37
matematik,29,70,60,11,96
fizik,0,39,67,20,41
biyoloji,33,76,28,2,22
biyoloji,2,81,26,25,32
fizik,46,100,78,72,63
biyoloji,34,48,89,78,69
matematik,30,93,26,86,65
fizik,16,71,25,30,79
fizik,43,4,93,96,50
biyoloji,16,88,10,19,69
matematik,40,52,33,62,29
matematik,47,52,9,95,43
biyoloji,39,24,34,24,13
biyoloji,30,62,81,39,20
fizik,43,89,37,45,22
biyoloji,5,20,71,51,59
biyoloji,40,52,86,70,65
matematik,15,17,74,10,75
fizik,44,85,14,90,45
fizik,25,40,94,82,20
matematik,20,90,10,85,18
fizik,21,14,24,16,39
fizik,14,88,5,23,97
fizik,1,61,51,98,75
biyoloji,3,78,80,30,2
biyoloji,50,67,5,97,0
biyoloji,13,75,100,66,95
matematik,41,99,36,16,73
biyoloji,29,28,34,67,17
biyoloji,35,39,53,68,92
fizik,48,80,98,8,81
biyoloji,40,94,98,60,100
matematik,5,77,51,26,64
matematik,6,17,59,85,78
matematik,19,41,18,14,84
matematik,8,14,58,88,52
matematik,7,97,18,60,56
matematik,35,28,72,8,30
matematik,30,38,28,20,87
matematik,37,44,69,48,47
matematik,46,23,24,84,35
fizik,23,68,47,97,55
matematik,49,26,84,65,56
fizik,17,49,67,40,7
fizik,5,72,60,15,38
matematik,7,96,55,68,17
matematik,31,69,15,57,22
biyoloji,47,98,40,34,27
biyoloji,6,87,27,98,52
biyoloji,15,44,29,59,21
fizik,27,75,0,79,34
matematik,25,50,34,88,20
fizik,0,23,45,6,17
biyoloji,46,56,20,79,41
fizik,0,57,8,98,34
matematik,24,93,40,95,82
biyoloji,43,57,1,39,53

