ders,ogrenci_no,vize1,vize2,vize3,final
matematik,28,17,88,24,31
matematik,26,33,74,52,26
matematik,41,72,74,90,70
matematik,16,59,39,34,41
fizik,8,50,24,0,12
matematik,39,4,94,57,99
fizik,1,39,11,31,39
matematik,25,43,85,4,14
matematik,43,89,81,63,71
matematik,42,59,88,76,93
fizik,24,85,22,71,36
matematik,31,39,52,53,34
matematik,18,84,79,89,38
biyoloji,19,22,19,16,81
fizik,42,19,99,38,78
fizik,25,16,44,23,93
matematik,31,100,81,48,82
biyoloji,44,44,19,52,45
biyoloji,34,17,27,65,72
fizik,8,99,4,15,21
biyoloji,5,86,28,84,64
fizik,27,51,43,65,100
biyoloji,6,0,52,92,6
fizik,32,55,33,32,82
matematik,43,71,19,87,7
biyoloji,17,50,25,19,11
fizik,25,16,3,83,15
biyoloji,38,60,38,54,90
fizik,2,4,93,31,26
matematik,11,40,15,93,34
fizik,23,65,72,42,2
matematik,36,48,50,93,98
fizik,50,85,65,11,3
fizik,37,47,67,32,11
matematik,23,41,25,88,85
biyoloji,1,25,20,13,21
fizik,23,42,58,5,15
matematik,25,53,86,91,66
fizik,30,85,100,15,25
matematik,5,67,41,82,91
biyoloji,28,85,39,51,49
biyoloji,17,41,77,95,97
fizik,40,23,71,31,75
biyoloji,38,62,55,76,39
fizik,37,46,69,57,32
fizik,5,98,87,65,22
matematik,28,39,25,21,29
matematik,20,72,30,27,30
fizik,5,99,58,16,74
matematik,44,49,63,66,91
biyoloji,2,46,70,55,43
matematik,6,67,35,88,33
biyoloji,47,25,71,10,17
matematik,50,72,7,44,48
biyoloji,48,10,34,30,29
matematik,28,59,35,21,7
fizik,32,30,77,28,23
biyoloji,38,17,16,32,69
matematik,12,58,60,72,69
biyoloji,5,70,15,85,90
fizik,36,81,58,71,53
matematik,31,34,6,19,58
fizik,19,77,39,73,96
matematik,10,3,0,29,99
biyoloji,22,14,11,36,67
matematik,7,27,51,92,28
matematik,6,11,11,8,32
matematik,37,9,50,35,2
biyoloji,14,87,9,95,99
biyoloji,12,62,85,63,18
matematik,10,59,23,48,30
fizik,45,92,76,52,95
biyoloji,13,25,45,80,77
matematik,43,46,93,77,75
matematik,21,11,95,5,57
matematik,8,2,31,28,1
fizik,49,11,96,79,9
biyoloji,34,1,13,26,31
matematik,18,90,31,71,96
biyoloji,6,77,44,70,2
fizik,21,19,4,65,64
fizik,4,79,22,90,4
matematik,38,16,13,60,38
biyoloji,48,64,66,6,62
biyoloji,43,5,100,35,99
matematik,49,71,25,0,85
matematik,14,86,36,95,78
fizik,17,31,44,27,45
biyoloji,17,76,85,69,12
fizik,43,53,84,34,11
fizik,21,41,18,13,18
biyoloji,0,100,28,54,1
biyoloji,29,16,76,41,92
fizik,5,70,0,62,43
biyoloji,40,76,34,13,95
matematik,7,65,42,45,54
biyoloji,20,31,66,7,42
biyoloji,50,63,85,5,8
fizik,14,2,25,2,9
biyoloji,31,47,41,27,75
fizik,14,33,18,0,37
biyoloji,7,66,42,52,26
biyoloji,17,0,53,47,74
biyoloji,37,91,99,83,3
matematik,41,63,74,8,57
biyoloji,5,56,26,23,59
biyoloji,24,42,54,19,49
matematik,21,31,52,98,96
matematik,25,14,75,17,98
matematik,30,47,45,51,13
fizik,29,96,52,33,100
fizik,9,86,25,71,37
matematik,26,43,3,94,40
fizik,15,22,83,99,6
matematik,13,82,100,92,54
fizik,12,62,21,71,0
biyoloji,48,37,6,19,4
fizik,1,57,54,99,49
fizik,29,26,79,72,19
matematik,16,100,40,2,59
biyoloji,39,73,28,10,57
biyoloji,49,35,3,37,21
fizik,21,37,46,71,35
matematik,49,48,61,74,58
fizik,21,100,29,21,0
biyoloji,33,88,55,13,15
fizik,11,75,92,66,24
fizik,27,20,2,10,18
matematik,20,5,81,86,40
biyoloji,29,30,83,57,48
fizik,48,95,14,45,12
fizik,49,14,79,59,72
matematik,37,64,25,19,90
matematik,15,65,66,28,53
biyoloji,8,33,54,94,85
fizik,29,96,86,67,56
fizik,42,58,36,13,73
biyoloji,2,81,73,89,70
biyoloji,2,8,31,48,47
matematik,43,30,66,100,22
biyoloji,25,94,55,79,74
fizik,15,89,52,17,3
fizik,35,82,26,62,10
matematik,48,8,91,68,75
matematik,42,72,3,33,77
biyoloji,16,25,38,78,26
fizik,50,57,48,26,96
fizik,16,14,25,52,20
biyoloji,36,36,52,92,32
biyoloji,0,33,75,81,72
fizik,29,47,28,67,93
fizik,18,59,44,57,64
matematik,19,73,13,78,17
fizik,11,88,41,52,79
biyoloji,43,72,96,69,88
biyoloji,26,60,4,67,0
matematik,28,74,91,86,61
matematik,27,29,20,52,59
fizik,9,49,84,17,19
biyoloji,37,41,57,86,14
matematik,40,73,55,90,52
matematik,21,5,90,84,95
matematik,21,37,21,72,99
matematik,30,16,99,0,29
biyoloji,41,96,1,31,4
biyoloji,24,57,88,79,24
matematik,25,73,49,53,46
matematik,28,2,7,73,27
matematik,40,94,48,14,28
fizik,44,10,91,22,49
matematik,16,40,6,4,16
matematik,17,35,93,17,56
matematik,1,30,46,76,76
matematik,33,34,47,89,97
biyoloji,12,87,69,4,10
fizik,47,42,34,45,54
biyoloji,1,31,65,73,52
matematik,43,67,68,47,62
matematik,34,99,87,50,98
fizik,25,15,35,87,35
matematik,6,87,88,82,95
biyoloji,46,29,20,95,78
biyoloji,20,67,36,6,91
biyoloji,10,22,85,68,46
biyoloji,20,81,100,12,29
biyoloji,46,93,32,77,22
biyoloji,39,80,75,28,40
fizik,8,38,48,54,55
matematik,21,73,89,39,65
biyoloji,45,30,27,52,63
fizik,48,57,11,14,5
matematik,23,64,53,94,67
fizik,2,90,60,81,0
biyoloji,12,48,18,8,28
fizik,9,95,58,4,33
matematik,42,53,8,24,43
matematik,21,32,22,81,47
fizik,45,16,10,12,15
fizik,30,75,0,79,73
biyoloji,38,23,7,91,44
fizik,24,22,36,70,12
fizik,1,82,72,74,20
fizik,8,38,94,27,44
fizik,44,36,69,1,32
biyoloji,34,89,20,95,71
fizik,49,57,48,27,71
biyoloji,20,100,39,43,4
fizik,46,11,88,49,84
fizik,38,36,63,42,95
fizik,31,87,18,96,59
fizik,8,88,74,2,32
fizik,26,65,28,27,74
fizik,41,22,19,81,13
biyoloji,7,36,37,57,88
biyoloji,10,50,16,18,91
fizik,5,29,79,34,15
biyoloji,23,3,13,67,41
fizik,34,76,30,24,36
fizik,40,99,79,99,90
matematik,45,29,0,86,41
biyoloji,3,70,29,74,47
matematik,36,57,56,31,77
fizik,12,67,83,61,78
biyoloji,7,1,32,79,64
fizik,46,92,10,63,37
fizik,19,11,92,71,72
fizik,21,95,55,46,92
biyoloji,50,11,30,99,93
biyoloji,26,84,54,37,44
matematik,19,2,36,48,74
biyoloji,48,43,1,87,73
biyoloji,31,5,32,94,77
fizik,12,53,6,34,56
biyoloji,6,72,38,36,81
biyoloji,28,13,18,99,55
matematik,22,90,37,92,20
matematik,11,93,48,84,95
biyoloji,49,95,16,52,67
matematik,8,69,94,33,97
biyoloji,22,15,23,59,56
fizik,46,47,100,66,61
fizik,48,6,85,67,49
biyoloji,45,29,18,53,37
fizik,29,83,45,72,1
biyoloji,3,50,51,50,78
fizik,49,74,13,16,50
biyoloji,1,38,7,32,91
matematik,48,50,9,97,10
matematik,4,50,46,98,55
biyoloji,35,47,53,56,3
matematik,42,46,13,78,39
biyoloji,37,67,38,95,10
biyoloji,32,63,97,43,13
biyoloji,0,86,21,97,10
fizik,20,2,46,15,85
fizik,26,94,46,47,39
fizik,35,66,20,44,96
fizik,29,99,51,14,69
fizik,18,79,84,26,24
matematik,38,50,3,98,88
fizik,30,62,5,92,85
biyoloji,29,94,70,5,14
biyoloji,50,15,32,24,50
matematik,48,21,41,89,60
biyoloji,2,13,18,42,96
fizik,31,41,95,59,2
biyoloji,44,81,50,50,52
biyoloji,2,83,43,78,64
fizik,9,45,24,67,99
matematik,44,67,3,79,18
fizik,27,90,84,20,20
biyoloji,5,21,78,83,37
matematik,19,46,67,44,99
biyoloji,1,32,4,12,51
matematik,26,96,49,82,67
fizik,41,54,12,33,11
fizik,10,38,29,90,14
matematik,11,18,11,44,69
matematik,35,37,71,5,52
biyoloji,15,27,57,54,51
biyoloji,42,100,55,5,98
biyoloji,16,46,63,8,49
matematik,13,68,88,5,86
matematik,9,24,38,9,99
biyoloji,29,2,2,35,14
fizik,29,11,20,45,47
biyoloji,19,95,51,18,23
matematik,37,100,62,26,2
biyoloji,6,62,18,44,61
biyoloji,50,50,66,71,46
fizik,27,76,13,78,55
biyoloji,9,92,49,50,0
biyoloji,47,5,54,8,72
biyoloji,11,64,71,50,81
matematik,32,23,57,85,6
biyoloji,12,81,88,7,80
biyoloji,16,57,24,83,74
biyoloji,12,26,91,66,48
matematik,40,51,16,66,98
biyoloji,18,57,95,31,99

